NSFName,UnitId,Year,AcademicDiscipline,TotalRDExpenditures
Northwestern University,147767,2004,Aerospace Engineering,0
Northwestern University,147767,2005,Aerospace Engineering,0
Northwestern University,147767,2006,Aerospace Engineering,0
Northwestern University,147767,2007,Aerospace Engineering,0
Northwestern University,147767,2008,Aerospace Engineering,0
Northwestern University,147767,2009,Aerospace Engineering,0
Northwestern University,147767,2010,Aerospace Engineering,0
Northwestern University,147767,2011,Aerospace Engineering,0
Northwestern University,147767,2012,Aerospace Engineering,0
Northwestern University,147767,2013,Aerospace Engineering,0
Northwestern University,147767,2014,Aerospace Engineering,0
Northwestern University,147767,2015,Aerospace Engineering,0
Northwestern University,147767,2016,Aerospace Engineering,0
Northwestern University,147767,2004,Agricultural Sciences,0
Northwestern University,147767,2005,Agricultural Sciences,0
Northwestern University,147767,2006,Agricultural Sciences,0
Northwestern University,147767,2007,Agricultural Sciences,0
Northwestern University,147767,2008,Agricultural Sciences,0
Northwestern University,147767,2009,Agricultural Sciences,0
Northwestern University,147767,2010,Agricultural Sciences,0
Northwestern University,147767,2011,Agricultural Sciences,0
Northwestern University,147767,2012,Agricultural Sciences,0
Northwestern University,147767,2013,Agricultural Sciences,0
Northwestern University,147767,2014,Agricultural Sciences,0
Northwestern University,147767,2015,Agricultural Sciences,0
Northwestern University,147767,2016,Agricultural Sciences,1234000
Northwestern University,147767,2016,Anthropology,820000
Northwestern University,147767,2004,Arts and Music,565000
Northwestern University,147767,2005,Arts and Music,517000
Northwestern University,147767,2006,Arts and Music,520000
Northwestern University,147767,2007,Arts and Music,729000
Northwestern University,147767,2008,Arts and Music,771000
Northwestern University,147767,2009,Arts and Music,699000
Northwestern University,147767,2010,Arts and Music,522000
Northwestern University,147767,2011,Arts and Music,629000
Northwestern University,147767,2012,Arts and Music,760000
Northwestern University,147767,2013,Arts and Music,1062000
Northwestern University,147767,2014,Arts and Music,848000
Northwestern University,147767,2015,Arts and Music,969000
Northwestern University,147767,2016,Arts and Music,1104000
Northwestern University,147767,2004,Astronomy,0
Northwestern University,147767,2005,Astronomy,0
Northwestern University,147767,2006,Astronomy,0
Northwestern University,147767,2007,Astronomy,0
Northwestern University,147767,2008,Astronomy,0
Northwestern University,147767,2009,Astronomy,0
Northwestern University,147767,2010,Astronomy,0
Northwestern University,147767,2011,Astronomy,0
Northwestern University,147767,2012,Astronomy,0
Northwestern University,147767,2013,Astronomy,0
Northwestern University,147767,2014,Astronomy,0
Northwestern University,147767,2015,Astronomy,0
Northwestern University,147767,2016,Astronomy,2564000
Northwestern University,147767,2004,Atmospheric Sciences,0
Northwestern University,147767,2005,Atmospheric Sciences,0
Northwestern University,147767,2006,Atmospheric Sciences,0
Northwestern University,147767,2007,Atmospheric Sciences,0
Northwestern University,147767,2008,Atmospheric Sciences,0
Northwestern University,147767,2009,Atmospheric Sciences,0
Northwestern University,147767,2010,Atmospheric Sciences,0
Northwestern University,147767,2011,Atmospheric Sciences,0
Northwestern University,147767,2012,Atmospheric Sciences,0
Northwestern University,147767,2013,Atmospheric Sciences,0
Northwestern University,147767,2014,Atmospheric Sciences,0
Northwestern University,147767,2015,Atmospheric Sciences,0
Northwestern University,147767,2016,Atmospheric Sciences,0
Northwestern University,147767,2004,Biological Sciences,85943000
Northwestern University,147767,2005,Biological Sciences,90240000
Northwestern University,147767,2006,Biological Sciences,92527000
Northwestern University,147767,2007,Biological Sciences,89299000
Northwestern University,147767,2008,Biological Sciences,84026000
Northwestern University,147767,2009,Biological Sciences,98736000
Northwestern University,147767,2010,Biological Sciences,100439000
Northwestern University,147767,2011,Biological Sciences,94007000
Northwestern University,147767,2012,Biological Sciences,98722000
Northwestern University,147767,2013,Biological Sciences,96980000
Northwestern University,147767,2014,Biological Sciences,95577000
Northwestern University,147767,2015,Biological Sciences,100231000
Northwestern University,147767,2016,Biological Sciences,122935000
Northwestern University,147767,2004,Business and Management,15858000
Northwestern University,147767,2005,Business and Management,16509000
Northwestern University,147767,2006,Business and Management,19574000
Northwestern University,147767,2007,Business and Management,19367000
Northwestern University,147767,2008,Business and Management,22423000
Northwestern University,147767,2009,Business and Management,21212000
Northwestern University,147767,2010,Business and Management,5736000
Northwestern University,147767,2011,Business and Management,5927000
Northwestern University,147767,2012,Business and Management,8342000
Northwestern University,147767,2013,Business and Management,7899000
Northwestern University,147767,2014,Business and Management,6501000
Northwestern University,147767,2015,Business and Management,8415000
Northwestern University,147767,2016,Business and Management,6115000
Northwestern University,147767,2004,Chemical Engineering,4953000
Northwestern University,147767,2005,Chemical Engineering,6156000
Northwestern University,147767,2006,Chemical Engineering,6066000
Northwestern University,147767,2007,Chemical Engineering,5889000
Northwestern University,147767,2008,Chemical Engineering,5323000
Northwestern University,147767,2009,Chemical Engineering,5768000
Northwestern University,147767,2010,Chemical Engineering,5879000
Northwestern University,147767,2011,Chemical Engineering,12298000
Northwestern University,147767,2012,Chemical Engineering,14154000
Northwestern University,147767,2013,Chemical Engineering,13472000
Northwestern University,147767,2014,Chemical Engineering,13746000
Northwestern University,147767,2015,Chemical Engineering,8924000
Northwestern University,147767,2016,Chemical Engineering,7077000
Northwestern University,147767,2004,Chemistry,17704000
Northwestern University,147767,2005,Chemistry,17825000
Northwestern University,147767,2006,Chemistry,17258000
Northwestern University,147767,2007,Chemistry,20435000
Northwestern University,147767,2008,Chemistry,18579000
Northwestern University,147767,2009,Chemistry,25907000
Northwestern University,147767,2010,Chemistry,28303000
Northwestern University,147767,2011,Chemistry,32213000
Northwestern University,147767,2012,Chemistry,33822000
Northwestern University,147767,2013,Chemistry,35547000
Northwestern University,147767,2014,Chemistry,33303000
Northwestern University,147767,2015,Chemistry,34334000
Northwestern University,147767,2016,Chemistry,39855000
Northwestern University,147767,2004,Civil Engineering,4344000
Northwestern University,147767,2005,Civil Engineering,3565000
Northwestern University,147767,2006,Civil Engineering,2811000
Northwestern University,147767,2007,Civil Engineering,2284000
Northwestern University,147767,2008,Civil Engineering,2720000
Northwestern University,147767,2009,Civil Engineering,3086000
Northwestern University,147767,2010,Civil Engineering,3738000
Northwestern University,147767,2011,Civil Engineering,4286000
Northwestern University,147767,2012,Civil Engineering,3410000
Northwestern University,147767,2013,Civil Engineering,3289000
Northwestern University,147767,2014,Civil Engineering,3635000
Northwestern University,147767,2015,Civil Engineering,4459000
Northwestern University,147767,2016,Civil Engineering,5247000
Northwestern University,147767,2004,Communication and Librarianship,998000
Northwestern University,147767,2005,Communication and Librarianship,1162000
Northwestern University,147767,2006,Communication and Librarianship,1995000
Northwestern University,147767,2007,Communication and Librarianship,1874000
Northwestern University,147767,2008,Communication and Librarianship,1725000
Northwestern University,147767,2009,Communication and Librarianship,3370000
Northwestern University,147767,2010,Communication and Librarianship,2875000
Northwestern University,147767,2011,Communication and Librarianship,3923000
Northwestern University,147767,2012,Communication and Librarianship,4128000
Northwestern University,147767,2013,Communication and Librarianship,4079000
Northwestern University,147767,2014,Communication and Librarianship,4787000
Northwestern University,147767,2015,Communication and Librarianship,6677000
Northwestern University,147767,2016,Communication and Librarianship,7195000
Northwestern University,147767,2004,Computer Science,3505000
Northwestern University,147767,2005,Computer Science,3907000
Northwestern University,147767,2006,Computer Science,1560000
Northwestern University,147767,2007,Computer Science,1333000
Northwestern University,147767,2008,Computer Science,1193000
Northwestern University,147767,2009,Computer Science,19000
Northwestern University,147767,2010,Computer Science,64000
Northwestern University,147767,2011,Computer Science,26000
Northwestern University,147767,2012,Computer Science,0
Northwestern University,147767,2013,Computer Science,0
Northwestern University,147767,2014,Computer Science,0
Northwestern University,147767,2015,Computer Science,40000
Northwestern University,147767,2016,Computer Science,2197000
Northwestern University,147767,2004,Earth Sciences,911000
